Date,Open,High,Low,Close,Volume
2023-01-03,125.06999969482422,130.89999389648438,124.16999816894533,130.27999877929688,112117500
2023-01-04,126.36000061035156,128.66000366210938,125.08000183105467,126.88999938964844,89113600
2023-01-05,125.0199966430664,127.7699966430664,124.76000213623048,127.12999725341795,80962700
2023-01-06,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623048,87754700
2023-01-09,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800
2023-01-10,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200
2023-01-11,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900
2023-01-12,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600
2023-01-13,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700
2023-01-17,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600
2023-01-18,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800
2023-01-19,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400
2023-01-20,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600
2023-01-23,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300
2023-01-24,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100
2023-01-25,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300
2023-01-26,143.9600067138672,144.25,141.89999389648438,143.1699981689453,54105100
2023-01-27,145.92999267578125,147.22999572753906,143.0800018310547,143.16000366210938,70555800
2023-01-30,143.0,145.5500030517578,142.85000610351562,144.9600067138672,64015300
2023-01-31,144.2899932861328,144.33999633789062,142.27999877929688,142.6999969482422,65874500
2023-02-01,145.42999267578125,146.61000061035156,141.32000732421875,143.97000122070312,77663600
2023-02-02,150.82000732421875,151.17999267578125,148.1699981689453,148.89999389648438,118339000
2023-02-03,154.5,157.3800048828125,147.8300018310547,148.02999877929688,154357300
2023-02-06,151.72999572753906,153.10000610351562,150.77999877929688,152.57000732421875,69858300
2023-02-07,154.64999389648438,155.22999572753906,150.63999938964844,150.63999938964844,83322600
2023-02-08,151.9199981689453,154.5800018310547,151.1699981689453,153.8800048828125,64120100
2023-02-09,150.8699951171875,154.3300018310547,150.4199981689453,153.77999877929688,56007100
2023-02-10,151.00999450683594,151.33999633789062,149.22000122070312,149.4600067138672,57450700
2023-02-13,153.85000610351562,154.25999450683594,150.9199981689453,150.9499969482422,62199000
2023-02-14,153.1999969482422,153.77000427246094,150.86000061035156,152.1199951171875,61707600
2023-02-15,155.3300018310547,155.5,152.8800048828125,153.11000061035156,65573800
2023-02-16,153.7100067138672,156.3300018310547,153.35000610351562,153.50999450683594,68167900
2023-02-17,152.5500030517578,153.0,150.85000610351562,152.35000610351562,59144100
2023-02-21,148.47999572753906,151.3000030517578,148.41000366210938,150.1999969482422,58867200
2023-02-22,148.91000366210938,149.9499969482422,147.16000366210938,148.8699951171875,51011300
2023-02-23,149.39999389648438,150.33999633789062,147.24000549316406,150.08999633789062,48394200
2023-02-24,146.7100067138672,147.19000244140625,145.72000122070312,147.11000061035156,55469600
2023-02-27,147.9199981689453,149.1699981689453,147.4499969482422,147.7100067138672,44998500
2023-02-28,147.41000366210938,149.0800018310547,146.8300018310547,147.0500030517578,50547000
2023-03-01,145.30999755859375,147.22999572753906,145.00999450683594,146.8300018310547,55479000
2023-03-02,145.91000366210938,146.7100067138672,143.89999389648438,144.3800048828125,52238100
2023-03-03,151.02999877929688,151.11000061035156,147.3300018310547,148.0399932861328,70732300
2023-03-06,153.8300018310547,156.3000030517578,153.4600067138672,153.7899932861328,87558000
2023-03-07,151.60000610351562,154.02999877929688,151.1300048828125,153.6999969482422,56182000
2023-03-08,152.8699951171875,153.47000122070312,151.8300018310547,152.80999755859375,47204800
2023-03-09,150.58999633789062,154.5399932861328,150.22999572753906,153.55999755859375,53833600
2023-03-10,148.5,150.94000244140625,147.61000061035156,150.2100067138672,68572400
2023-03-13,150.47000122070312,153.13999938964844,147.6999969482422,147.80999755859375,84457100
2023-03-14,152.58999633789062,153.39999389648438,150.10000610351562,151.27999877929688,73695900
2023-03-15,152.99000549316406,153.25,149.9199981689453,151.19000244140625,77167900
2023-03-16,155.85000610351562,156.4600067138672,151.63999938964844,152.16000366210938,76161100
2023-03-17,155.0,156.74000549316406,154.27999877929688,156.0800018310547,98944600
2023-03-20,157.39999389648438,157.82000732421875,154.14999389648438,155.07000732421875,73641400
2023-03-21,159.27999877929688,159.39999389648438,156.5399932861328,157.32000732421875,73938300
2023-03-22,157.8300018310547,162.13999938964844,157.80999755859375,159.3000030517578,75701800
2023-03-23,158.92999267578125,161.5500030517578,157.67999267578125,158.8300018310547,67622100
2023-03-24,160.25,160.33999633789062,157.85000610351562,158.86000061035156,59196500
2023-03-27,158.27999877929688,160.77000427246094,157.8699951171875,159.94000244140625,52390300
2023-03-28,157.64999389648438,158.49000549316406,155.97999572753906,157.97000122070312,45992200
2023-03-29,160.77000427246094,161.0500030517578,159.35000610351562,159.3699951171875,51305700
2023-03-30,162.36000061035156,162.47000122070312,161.27000427246094,161.52999877929688,49501700
2023-03-31,164.89999389648438,165.0,161.91000366210938,162.44000244140625,68749800
2023-04-03,166.1699981689453,166.2899932861328,164.22000122070312,164.27000427246094,56976200
2023-04-04,165.6300048828125,166.83999633789062,165.11000061035156,166.60000610351562,46278300
2023-04-05,163.75999450683594,165.0500030517578,161.8000030517578,164.74000549316406,51511700
2023-04-06,164.66000366210938,164.9600067138672,162.0,162.42999267578125,45390100
2023-04-10,162.02999877929688,162.02999877929688,160.0800018310547,161.4199981689453,47716900
2023-04-11,160.8000030517578,162.36000061035156,160.50999450683594,162.35000610351562,47644200
2023-04-12,160.10000610351562,162.05999755859375,159.77999877929688,161.22000122070312,50133100
2023-04-13,165.55999755859375,165.8000030517578,161.4199981689453,161.6300048828125,68445600
2023-04-14,165.2100067138672,166.32000732421875,163.82000732421875,164.58999633789062,49386500
2023-04-17,165.22999572753906,165.38999938964844,164.02999877929688,165.08999633789062,41516200
2023-04-18,166.47000122070312,167.41000366210938,165.64999389648438,166.10000610351562,49923000
2023-04-19,167.6300048828125,168.16000366210938,165.5399932861328,165.8000030517578,47720200
2023-04-20,166.64999389648438,167.8699951171875,165.55999755859375,166.08999633789062,52456400
2023-04-21,165.02000427246094,166.4499969482422,164.49000549316406,165.0500030517578,58337300
2023-04-24,165.3300018310547,165.60000610351562,163.88999938964844,165.0,41949600
2023-04-25,163.77000427246094,166.30999755859375,163.72999572753906,165.19000244140625,48714100
2023-04-26,163.75999450683594,165.27999877929688,162.8000030517578,163.05999755859375,45498800
2023-04-27,168.41000366210938,168.55999755859375,165.19000244140625,165.19000244140625,64902300
2023-04-28,169.67999267578125,169.85000610351562,167.8800048828125,168.49000549316406,55209200
2023-05-01,169.58999633789062,170.4499969482422,168.63999938964844,169.27999877929688,52472900
2023-05-02,168.5399932861328,170.35000610351562,167.5399932861328,170.08999633789062,48425700
2023-05-03,167.4499969482422,170.9199981689453,167.16000366210938,169.5,65136000
2023-05-04,165.7899932861328,167.0399932861328,164.30999755859375,164.88999938964844,81235400
2023-05-05,173.57000732421875,174.3000030517578,170.75999450683594,170.97999572753906,113316400
2023-05-08,173.5,173.85000610351562,172.11000061035156,172.47999572753906,55962800
